Question_en,Answer_en
[Sign up process] How do I sign up for Smart Store Center membership? (Create ID),"With just one Naver Commerce ID, you can conveniently use Naver's various commerce services, such as Smart Store Center. If you do not have a Naver Commerce ID, please register as a member through the [Sign Up] button. 1. Sign up for Naver Commerce ID with ‘Naver ID’ 1) Click the [Sign up with Naver ID] button to log in to Naver. 2) Enter your contactable mobile phone number and verify it, then check the consent to personal information collection and click [Sign up]. ] button. 3) Naver Commerce ID membership registration has been completed and you can sign up for the Smart Store Center service with the corresponding Naver ID. Afterwards, you can log in to Naver by pressing the [Log in with Naver ID] button when logging in to the Smart Store Center. 2. Sign up for Naver Commerce ID with ‘Email ID’ 1) Click the [Sign up with email ID] button and enter the ID you want to use! important. The login ID must be entered as “the email address you are actually using.” (Example: abc@naver.com)2) Enter and verify your contactable mobile phone number and email address, then check the consent to personal information collection and click the [Sign up] button.3) Naver Commerce ID membership registration is completed and the corresponding You can sign up for the Smart Store Center service with your email ID. Afterwards, you can log in by entering your email ID and password when logging in to the Smart Store Center. ※ reference. We do not check whether the login ID account representative and the business registration number representative are the same. (You can sign up even if the representative is different.)


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Related Help/Keywords

Can’t I add or change my Smart Store login ID (manager)?
After switching to Naver Commerce ID, is it impossible to log in with the previous ID?
I can't log in after switching my Naver Commerce ID.



Close help"
[Signup Documents] What documents are required for each type of Smart Store seller?,"Smart Store sales membership categories are as follows, and you must submit all documents to join. Subscription documents can be uploaded at the registration stage, and if the documents are not ready when applying for subscription, they can be uploaded from the [Seller Information > Screening Details Inquiry] menu after completing registration. In the case of business registration, the latest business for AML (Authority Management) To verify the information, we are accepting documents issued within the last year. Seller membership classification Documents required for registration Domestic individuals General documents not required Legal minors (under 19 years of age) 1 copy of legal representative’s seal certificate (issued within the last 3 months, date of birth + masking required excluding gender distinction) 1 copy of family relationship certificate ( or documents proving legal representative) 1 copy of Smart Store legal representative consent form (seller member ID required) ※ Note. · If it is difficult to submit a certificate of seal impression of a legal representative, it can be replaced with a certificate of signature of the legal representative. Domestic business: Legal minor (under 19 years of age) 1 copy of business registration certificate (issued within 1 year) 1 copy of bankbook in the name of representative (or business) Representative 1 copy of seal certificate (issued within 3 months, masking required excluding date of birth and gender) 1 copy of bankbook in the name of representative (or business) ※ Note. · Even if the representative is a legal minor, the business registration certificate has already been issued after confirmation of the legal representative at the time of issuance. A separate consent document from the legal representative is not required. · If the account holder's name is the same as the representative's name or the business name on the business registration certificate, a copy of the bankbook can be omitted. · In the case of a joint representative, the representative representative If it is in the account holder's name, a copy of the bankbook can be omitted · Submission of the representative's own seal certificate is required, and subscription screening is not possible by submitting the legal representative's seal certificate · The representative's seal certificate can be replaced with a copy of the 'Personal Signature Confirmation' · Mobile phone authentication in the representative's name Submission of 'Representative Seal Impression Certificate' can be omitted Simple/Individual Business 1 copy of business registration (issued within 1 year) 1 copy of representative seal impression certificate (issued within 3 months, masking required excluding date of birth + gender) Name of representative (or business) 1 copy of bankbook ※ Note. · If the account holder's name is the same as the representative's name or the business name on the business registration certificate, a copy of the bankbook can be omitted · In the case of co-representatives, if the representative representative is in the account holder's name, a copy of the bankbook can be omitted · The representative's seal certificate can be replaced with a copy of the 'Personal Signature Fact Confirmation' Corporate business: 1 copy of business registration certificate (issued within 1 year) 1 copy of corporate seal certificate (issued within 3 months, masking required excluding date of birth + gender) 1 copy of bankbook in the name of the corporation ※ Note. · If the account holder's name is the same as the corporate name (company name) on the business registration certificate, a copy of the bankbook can be omitted · In the case of a non-profit corporation, the personal seal certificate of the representative entered at the time of registration can be replaced instead of the corporate seal certificate · Corporate branch business 1 copy of the branch business registration certificate (1 copy) (issued within 1 year) 1 copy of corporate seal certificate (issued within 3 months, masking required excluding date of birth + gender) 1 copy of bankbook in the name of branch Overseas business 1 copy of representative's passport 1 copy of business registration (IRS document in the US) Business Or, a copy of a bankbook in the name of the corporation (overseas account verification document available) ※ Note. Non-English languages ​​must be submitted with an English translation. 《Download a copy of the Smart Store Legal Representative Consent Form》 Criteria for entering the Smart Store Mail Order Business Report No. 1. If the number of confirmed purchases in the previous year is 50 or more, or the cumulative number of confirmed purchases is 50 or more since January 1 of the current year2. If you are not a simplified taxpayer under Article 2, Paragraph 4 of the Value-Added Tax Act (Article 2, Paragraph 4 of the Value-Added Tax Act) Type of seller Individual seller (Individual seller member) Simplified business Individual business operator (General business operator) Corporation Business reporting criteria (multiple accounts) (Total total if:) KRW 48 million or more in cumulative sales in the previous year or KRW 44 million or more in cumulative sales from January 1 of the current year - Criteria for entering mail order business report number (total in case of multiple accounts) 50 or more confirmed purchases in the previous year Or, the cumulative number of confirmed purchases is 50 or more from January 1 of the current year. The cumulative sales amount of the previous year is KRW 80 million or more. Or, the sales amount is KRW 80 million or more from January 1 of the current year. The number of confirmed purchases is 50 or more from the previous year or January 1 of the current year. Notification when the cumulative number of confirmed purchases exceeds the standard of 50 or more. Information on business conversion (login pop-up notification/EMS sent). Information on non-reporting of mail order business (login pop-up notification/EMS sent). Notification every 2nd day of each month Based on cumulative sales amount (based on seller level) Same as) Purchase confirmation product order number unit payment amount - Payment amount for ex officio canceled product order number (including combination option/additional product amount, shipping cost is not included in sales price) Based on the cumulative number of cases (same as seller grade standard) ) Product order number unit purchase confirmed cases - ex officio cancellation cases (only general orders are included, additional products/delivery costs are not included in the number of sales) ※ Note. · If you meet the criteria for entering the mail order business report number, please proceed after completing the mail order business report. · The ‘Purchase Safety Service Use Confirmation Certificate’ for issuance of a mail order business report can be printed through the ‘Purchase Safety Service Use Confirmation’ button at the top right of the [Seller Information > Seller Information] menu. · When signing up for a new membership, if the Fair Trade Commission can properly search the business information, the registration will be completed by entering the mail order business report number. · For documents with multiple pages, all pages must be submitted, and the issuance date must be the same for all documents. · It can be replaced with a business registration certificate that contains the same information as the business registration certificate. However, please submit documents issued within the last year. · The representative’s seal certificate can be replaced with a copy of the ‘Personal Signature Confirmation’. · If you authenticate yourself using a mobile phone activated in the name of the representative, you do not need to submit a seal certificate. · If it is difficult to submit a certificate of personal seal of a legal representative in documents related to a minor, it can be replaced with a certificate of personal signature of the legal representative. · When signing up as a minor business owner, if you do not use mobile phone authentication as an identity verification method, you must submit a minor (principal) seal certificate or a certificate of personal signature. However, if it is difficult for a minor to submit a personal seal certificate, please cancel the business registration review and proceed with 'mobile phone identity verification' when re-registering. · After submitting all documents, screening will be conducted within 3 business days, and the results will be sent to the person in charge by email. · Documents for overseas residents must be submitted in English translation. If you receive an English translation from the issuing agency, a separate notarization is not required. If the issuing agency is unable to issue an English translation, you must submit an English translation notarized by a consulate or a notary translation agency. · If you are a co-representative, you must enter all representative names when applying for membership, and submit each representative's personal seal certificate (if a corporation, corporate seal certificate). · In the case of individual representatives, even if there are multiple representatives on the business registration certificate, only one representative can sign up. In this case, only the representative's document (if a corporation, the corporate seal impression certificate) entered at the time of registration can be submitted as the certificate of seal impression among the registration documents. · A copy of the bankbook can be replaced with an account opening confirmation or an online bankbook cover. · We do not check the purpose of document issuance during Smart Store screening. Please write in accordance with the actual reason for need, such as “for online sales submission.” I applied for membership. How do I check the screening results?》


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Related Help/Keywords

[Customer Verification System] What documents do I need to submit when registering AML information?



Close help"
[Results] I have applied for membership. How do I check the screening results?,"When you log in to the Smart Store Center, you can check detailed information (documents submitted, reasons for withholding, etc.) in the ""Pop-up"" or [Seller Information > Review Review] menu. A total of 5 screening processes can be exposed before completing registration. Please check the solution according to the corresponding pop-up message. · Review: Review is currently in progress. Review will be completed within 3 business days. · Reviewing (Documents not submitted): Review is not in progress because all required documents have not been submitted. Once you submit your documents, screening will begin immediately. · Under review (documents passed): Document review has been approved during the shopping window exposure review. ※ reference. Once the initial approval (document passing) process is completed, you must register a product that meets the inspection standards for inspection to proceed until final approval. · On hold: Your registration review has been put on hold because we found insufficient information in the documents/information you submitted. Check the reason for the hold, and if it is held due to insufficient documents, re-register the documents and the review will proceed again. · Rejected: You cannot join the Smart Store Center. Your seller registration has been ‘on hold’. Why is that? 》Seller registration has been ‘rejected’. Why is that so? 》 ※ Reference. By any chance, did you not see the “pop-up” message? · You can check all review results in the [Seller Information > Review Review] menu. · Naver Smart Store Customer Center calls numbers other than the customer center number (1588-3819). We will not contact you. Please be careful if you are contacted by another number with information related to Smart Store.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
[Signup Process][Shopping Window/Fashion Town] What is the Naver Shopping Window exposure procedure?,"In order to enter a store in Naver Shopping Window, you can check the detailed conditions through [Exposure Management > Shopping Window Exposure Proposal]. For the Fashion Town and Window services below, you can check whether you can enter the store through a self-entry check before applying for store entry. .Fashion Town Overseas Direct Purchase Go directly to self-entry check》Fashion Town Beauty Go directly to self-entry check》Fashion Town Soho & Street Windows Go directly to self-entry check》 Kids Window (Roadshop) Go directly to self-entry check》Kids Window (Brand) self Go directly to store entry check》Naver Pet Go directly to self store entry check》Living Window (Home & Decor/Creative Workshop/Stationery) Go directly to store entry check》 Once the store entry criteria and self check have been completed, please apply for store entry through the menu below. Applying to open a store at the Smart Store Center 1) Only sellers who have registered as a business can open a store. 2) Select the [Exposure Management > Shopping Window Exposure Proposal] menu. 3) “Soho & Street / Beauty (brand headquarters, official importers only) / Overseas direct purchase (local overseas business in overseas direct purchase service area) / Living Window ( Living product group) / Kids window (children's) / Play window (digital, sports/leisure, kidult product group) / Art window (artist and gallery discussed in advance with the person in charge) / Naver Pet Window (dog/cat related brand headquarters, official importer) / Please select the window you want from “Food Windows (a variety of food products such as direct delivery from the producer, local specialties, simple home-cooked meals, traditional liquor, etc.)”. 4) There are subscription conditions depending on the characteristics of each window. Please enter the necessary information according to the subscription conditions below. After entering the information, if you click “Request to add a channel,” the reviewer will deliver the review results within 3 business days.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
[Registration Documents] What documents are required to sign up as a domestic business?,"In order to sign up as a 'domestic simple/individual (general)/corporate business', you must prepare the documents below in advance. The sign-up documents can be uploaded at the sign-up stage. If the documents are not ready when applying for sign-up, after sign-up is completed, go to [Seller Information] You can upload it from the [Check review details] menu. (Fax not possible) In the case of business registration certificates, we are accepting documents issued within the past one year to verify the most up-to-date business information for the AML (Authority Management). If one year has passed from the date of issuance, please obtain a reissue and then submit. (Can be replaced with business registration certificate) [Required documents for each type of seller] Documents required for seller membership registration Domestic personal documents not required Legal minors (14 to under 19 years old) 1 copy of legal representative’s seal certificate (within the past 3 months) Masking required (excluding issuer, date of birth + gender) 1 copy of family relationship certificate (or document proving legal representative) 1 copy of Smart Store legal representative consent form (seller member ID required) 1 copy of Smart Store legal representative consent form Download ""  ※ reference. · If it is difficult to submit the legal representative's seal certificate, it can be replaced with the legal representative's personal signature confirmation certificate · In the case of family relationship certificate, the last 6 digits of the resident registration number (excluding date of birth + gender) must be masked (regardless of the date of issuance) · Domestic business court minors (14 years of age) ~ Under 19 years old) 1 copy of business registration certificate (issued within 1 year) 1 copy of bankbook in the name of representative (or business) 1 copy of representative’s seal certificate (issued within 3 months, date of birth + masking required excluding gender distinction) Representative (or 1 copy of bankbook in the name of business (business) ※ Note. · Even if the representative is a legal minor, the business registration certificate has already been issued after confirmation of the legal representative at the time of issuance. A separate consent document from the legal representative is not required at the time of signing up for Smart Store. · If the account holder's name is the same as the representative's name or the business name on the business registration certificate, a copy of the bankbook can be omitted · Co-representative In the case of cases where the representative is in the account holder's name, a copy of the bankbook can be omitted. · Submission of the representative's own seal certificate is required, and subscription screening is not possible by submitting the legal representative's seal certificate. · The representative's seal certificate can be replaced with a copy of the 'Personal Signature Fact Confirmation' · Representative When authenticating your own mobile phone, you can omit the submission of 'Representative Seal Impression Certificate' Simple/Individual Business 1 copy of business registration (issued within 1 year) 1 copy of representative's seal impression certificate (issued within 3 months, masking required excluding date of birth + gender) Representative ( or business owner) 1 copy of bankbook (※ Note. · If the account holder's name is the same as the representative's name or the business name on the business registration certificate, a copy of the bankbook can be omitted · In the case of co-representatives, if the representative representative is in the account holder's name, a copy of the bankbook can be omitted · The representative's seal certificate can be replaced with a copy of the 'Personal Signature Fact Confirmation' · When authenticating the representative's own mobile phone, the submission of 'Representative Seal Impression Certificate' can be omitted. 1 copy of business registration for corporate business (issued within 1 year) 1 copy of corporate seal certificate (issued within 3 months, masking required excluding date of birth + gender) Corporate name 1 copy of bankbook ※ Note. · If the account holder's name is the same as the corporate name (company name) on the business registration certificate, a copy of the bankbook can be omitted · In the case of a non-profit corporation, the personal seal certificate of the representative entered at the time of registration can be replaced instead of the corporate seal certificate. Corporate branch business 1 copy of the branch business registration certificate (1 copy) (issued within 1 year) 1 copy of corporate seal certificate (issued within 3 months, masking required excluding date of birth + gender) 1 copy of bankbook in the name of the branch [Based on entry of mail order business report number] · 50 or more confirmed purchases of orders in the previous year or If the cumulative number of confirmed purchases is 50 or more from January 1 of the year · If you do not fall under a simplified tax person under Article 2, Paragraph 4 of the Value-Added Tax Act (Article 2, Paragraph 4 of the Value-Added Tax Act) Seller Type Simplified Business Individual Entrepreneur (General Business) ) Corporate business ​ Mail order business report number entry criteria (total in case of multiple accounts) ​ Cumulative sales amount of KRW 80 million or more in the previous year or sales amount of KRW 80 million or more from January 1 of the current year ​ 50 or more confirmed purchases in the previous year or 1 in the current year Cumulative purchase confirmations of 50 or more from the 1st of the month※ Note. · Review will be conducted within 3 business days after submitting all documents, and the results will be sent to the person in charge by email. · If you meet the criteria for entering the mail order business report number, please apply for information change after completing the mail order business report. · The ‘Purchase Safety Service Use Confirmation Certificate’ for issuance of a mail order business report can be printed through the ‘Purchase Safety Service Use Confirmation’ button at the top right of the [Seller Information > Seller Information] menu in the Smart Store Center. · When signing up for a new membership, if the Fair Trade Commission can search the business information, the registration will be completed by entering the mail order business report number. · For documents with multiple pages, all pages must be submitted, and the issuance date must be the same for all documents. · It can be replaced with a business registration certificate containing the same information as the business registration certificate. Please submit a document issued within the last year. · The representative’s seal certificate can be replaced with a copy of the ‘Personal Signature Confirmation’. · If it is difficult to submit a certificate of personal seal of a legal representative in documents related to a minor, it can be replaced with a certificate of personal signature of the legal representative. · If you are a co-representative, you must enter all representative names when applying for membership, and submit each representative's personal seal certificate (if a corporation, corporate seal certificate). · In the case of individual representatives, even if there are multiple representatives on the business registration certificate, only one representative can sign up. In this case, only the representative's document (if a corporation, the corporate seal impression certificate) entered at the time of registration can be submitted as the certificate of seal impression among the registration documents. · Please submit a seal certificate issued within the last 3 months, masked, excluding date of birth and gender.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
[Subscription Documents] When do I have to submit the documents required for registration?,"You must submit the required documents within 30 days of applying for membership. If there are unsubmitted documents, the status is automatically changed to “pending” on the 30th day, and if the “pending” status is maintained for the next 180 days, it is automatically processed as “rejected.” Where should I send the documents required when signing up? 》 ※ Note. The review will be conducted within 3 business days from the date of completion of submission of required documents.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
[Registration Documents] Were the documents submitted for seller registration properly received?,"First, check the status of your review request in the [Seller Information > Review Review History] menu. · Under review (documents not submitted): This occurs when all documents have not been submitted properly. Please check the required documents again and attach them. · Reviewing: All documents have been received and review is currently in progress, so please wait 3 business days. ※ reference. You cannot re-check documents you have already submitted while they are under review.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
[Subscription Documents] Where should I send the documents required for registration?,"Please upload the documents when applying for membership. If you are unable to upload the file when applying for membership, you can upload the file through the ‘Submit’ button in the [Seller Information > Screening Details] menu. You must submit the required documents within 30 days of applying for membership. If there are unsubmitted documents, the status is automatically changed to “pending” on the 30th day, and if the “pending” status is maintained for the next 180 days, it is automatically processed as “rejected”. ※ Note. · When shooting with a mobile phone, please upload the file after shooting so that the document can be seen clearly. · After the review is completed, you can request modifications through the [Seller Information > Change Information] menu.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
[Subscription Documents] Do I need to submit a mail order business report?,"As of July 2020, as the criteria for exemption from reporting for mail order business have changed, the criteria for entering Smart Store's mail order business report number have also been reflected as follows. If you meet one of the two criteria, you do not need to report your mail order business. If you are operating as a business and need to enter your mail order business report number, please proceed from the [Seller Information > Application for Information Change] menu. Criteria for entering the mail order business report number: 50 or more confirmed purchases in the previous year or 50 or more cumulative confirmed purchases since January 1 of the current year. - If you do not fall under a simplified tax person under Article 2, Paragraph 4 of the Value-Added Tax Act (Value-Added Tax Act) Article 2, Paragraph 4) Type of Seller Individual Seller (Individual Seller Member) Simple Business Individual Business Owner (General Business) Corporate Business Business Reporting Criteria (Total in case of multiple accounts) Cumulative sales amount of KRW 48 million or more in the previous year or January 1 of the current year Cumulative sales amount of 44 million won or more from January 1 - Based on entry of mail order business report number (total in case of multiple accounts) 50 or more confirmed purchases in the previous year or 50 or more confirmed purchases in the previous year Cumulative sales in the previous year Amount of KRW 80 million or more, or sales amount of KRW 80 million or more from January 1 of the current year. 50 or more confirmed purchases in the previous year, or 50 or more cumulative confirmed purchases from January 1 of the current year. Information when exceeding the standard. Information on business conversion (login pop-up) Notification/EMS sent) Information on non-reporting of mail order business (login pop-up notification/EMS sent) Notified every 2nd day of each month Based on cumulative sales amount (same as seller level standard) Purchase confirmation product order number Unit payment amount - Product order number canceled ex officio Payment amount (including combination option/additional product amount, shipping cost is not included in the sales price) Based on the cumulative number of items (same as the seller level standard) Product order number Unit purchase confirmed cases - Ex officio cancellation cases (only general orders are included, Additional products/shipping costs are not included in the number of sales) ※ Note. · If the English letters in the mail order business report number are confirmed, please enter them in Korean and proceed. (Only Korean letters, numbers, and - can be entered) ​ Example) In case of 2020-Seongnam Bundang B-1234, enter 2020-Seongnam Bundang B-1234. Mail order business report must be submitted with the same information as other documents and the Fair Trade Commission site (location, business name) , representative, etc.) · When signing up, if the Fair Trade Commission can properly search business information, the mail order business report number is entered.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Related Help/Keywords

Where can I obtain a certificate of use of the purchase safety service?



Close help"
[Subscription Documents] Where can I download the purchase security service use confirmation certificate?,"﻿You can download the ‘Purchase Safety Service Use Confirmation (Escrow)’ at the top of the [Seller Information > Seller Information] menu. Wait! What if the button is not exposed? If you sign up as a domestic individual selling member, the 'Confirmation of Purchase Safety Service Use' button will not be exposed. In this case, the 'Confirmation of Purchase Safety Service Use' button will be exposed only after you complete the business conversion application. [Seller Information > Business Conversion] When applying, please select ‘Not Reported’ for whether to report mail order business and download after completing the application. See how to convert to a private sales business》※ Reference. Confirmation of purchase safety service use ※ Note. · Domestic businesses can download even when the subscription is under review. · If you would like to save a PDF file as an image, please refer to the saving method provided by Government 24 below. Click here to see how to save a PDF file as an image》


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Related Help/Keywords

How do I change the location (address) confirmed on the purchase security service use confirmation certificate?



Close help"
